Job Profile,company name,durations,stipend
Content Creation (Data Science),Leaders And Dreamers Private Limited,6 Months,"6,000 /month"
Research Analyst,Universal Inovators,2 Months,"3,000-8,000 /month"
Big Data,Attitude MatterZ,1 Month,"2,000 /month"
Data Analytics,Attitude MatterZ,1 Month,"2,000 /month"
Analyst,Sustainability And Strategy,6 Months,"5,000 /month + Incentives"
Business Analytics,Alquimie Advisors LLP,3 Months,"4,000 /month"
Machine Learning,Attitude MatterZ,1 Month,"2,000 /month"
Artificial Intelligence (AI),Attitude MatterZ,1 Month,"1,000 /month"
Pre-Sales Analytics (MBA),Elysian Corptech Services Private Limited,3 Months,"3,000-6,000 lump sum"
Machine Learning,Buddha Education Association Incorporation,2 Months,"21,000 /month"
Behavioral Data Science,DeepThought Edutech Ventures Private Limited,6 Months,"4,000 /month"
Data Science,Blackcoffer,6 Months,"6,000-12,000 /month"
Artificial Intelligence (Data Scraping),OyeBeauty,3 Months,"1,000-2,000 /month"
Search Engine Optimization (SEO) & Data Research,Susurla Impex Private Limited,1 Month,"3,000 /month"
3D Deep Learning,Code And Execute,2 Months,"5,000 lump sum"
Data Analytics (Excel & Google Sheets),Noisy Lion,2 Months,"8,000-10,000 /month"
Data Analysis,Alphanumeric Ideas Private Limited,2 Months,"1,500-3,000 /month"
Data Research,Alphanumeric Ideas Private Limited,2 Months,"1,500-3,000 /month"
Data Research Analysis,Clocktos Infotech,3 Months,"2,000-5,000 /month"
Teaching,Tutor For Kid,6 Months,"5,000 /month"
Robotics,Attitude MatterZ,1 Month,"2,000 /month"
Technical Blog Writing,Coding Ninjas,3 Months,"15,000 /month"
UI/UX Design,Blackcoffer,6 Months,"5,000 /month"
Web Scraping,Chakraborty And Lahkar Innovations Private Limited,2 Months,"1,000 /month"
Data Engineering,Techwondoe India Private Limited,3 Months,"10,000-25,000 /month"
Data Science,Attitude MatterZ,1 Month,"1,000 /month"
Technical Content Writing,EmbarkX,2 Months,"3,000-20,000 /month"
Business Analytics,Attitude MatterZ,1 Month,"1,000 /month"
Data Science,Yougetplaced Technology Services,1 Month,"10,000 /month"
Analytics,ClearTax,2 Months,"10,000 /month"
Telemarketing & Data Management,Words Lead (OPC) Private Limited,3 Months,"5,000 /month + Incentives"
XML Conversion,QA Solvers,6 Months,"15,000-20,000 /month"
Data Analytics,Medius Technologies Private Limited,4 Months,"6,000 /month"
Artificial Neural Networks,Finplex Solutions,3 Months,Unpaid
Machine Learning,Yougetplaced Technology Services,1 Month,"8,000 /month + Incentives"
HR Analysis,Simmi Foundation Organization,3 Months,Unpaid
Microsoft Power BI,Pianalytix Edutech Private Limted,2 Months,"20,000 /month"
Data Science,Pianalytix Edutech Private Limted,2 Months,"20,000 /month"
Machine Learning & Model Building (OCR Tool),IIT Bombay,6 Months,"1,000 /month"
Financial Technical Analysis (Intraday Trading),Trader For Tomorrow,2 Months,"16,000 /month + Incentives"
